id,tour_id,user_id,created_at,updated_at,device
443,4347,17887,44:25.3,44:25.3,0
451,5874,17942,36:32.0,36:32.0,0
454,5800,17953,53:10.9,53:10.9,0
459,5791,17964,11:01.4,11:01.4,0
462,5874,17971,58:17.4,58:17.4,0
474,5850,18020,01:11.1,01:11.1,0
483,5856,18047,44:55.9,44:55.9,0
486,5800,18054,23:00.0,23:00.0,0
487,5800,17669,39:49.9,39:49.9,0
496,3612,18123,55:48.8,55:48.8,0
499,5856,18129,11:22.2,11:22.2,0
501,5799,18138,47:16.6,47:16.6,0
504,5791,11713,17:37.6,17:37.6,0
526,4347,18185,55:37.2,55:37.2,0
527,3612,18186,01:16.8,01:16.8,0
528,4347,18186,03:19.8,03:19.8,0
543,5800,18154,47:36.4,47:36.4,0
584,3612,18267,00:29.2,00:29.2,0
601,5800,18300,58:44.8,58:44.8,0
604,5874,18312,11:57.9,11:57.9,0
605,5874,18313,23:52.3,23:52.3,0
